"y","p","Qr","Q","Eh"
2,0.194102838770486,0,0,0
57,0.227893317432608,0,0,0
2,0.185369241419248,0,0,0
88,0.203085846104659,0,0,0
830,0.236195669637527,0,0,0
26,0.241568443041760,0,0,0
13,0.211443079658784,0,0,0
9,0.206744169003796,0,0,0
6,0.225012154956348,0,0,0
4,0.249510537590832,0,0,0
3,0.184922825929243,0,0,0
12,0.178601109837182,0,0,0
364,0.232113959710114,0,0,0
27,0.181170847478788,0,0,0
255,0.227711326282006,0,0,0
67,0.226805551443249,0,0,0
3,0.199348878574092,0,0,0
41,0.194957166220993,0,0,0
35,0.190653390320949,0,0,0
27,0.187160409786738,0,0,0
14,0.181232260405086,0,0,0
3,0.182557790582068,0,0,0
14,0.175233800078277,0,0,0
375,0.224163352185860,0,0,0
212,0.19015300484607,0,0,0
50707,0.248105063482653,0,0,0
651,0.24004279559711,0,0,0
18,0.221751398926135,0,0,0
28,0.176864814709406,0,0,0
4,0.202754178408068,0,0,0
259,0.179456541812979,0,0,0
1045,0.222708747615106,0,0,0
6,0.162424481061753,0,0,0
4641,0.236693579957355,0,0,0
2,0.237586052631959,0,0,0
20,0.17348516312195,0,0,0
41522,0.247719890724402,0,0,0
12,0.213345313419122,0,0,0
98,0.207230745041743,0,0,0
29,0.179197843570728,0,0,0
2,0.243582741569262,0,0,0
25,0.171397670358419,0,0,0
15,0.199860172027256,0,0,0
5,0.179746178875212,0,0,0
3,0.224904446473811,0,0,0
2,0.18971486143535,0,0,0
37,0.190360377908219,0,0,0
21,0.16048406020971,0,0,0
48,0.19053554398939,0,0,0
20,0.185612527856138,0,0,0
146,0.208905884525739,0,0,0
3,0.210298637524247,0,0,0
15,0.187897196949925,0,0,0
123,0.197899063318036,0,0,0
119,0.205472779006232,0,0,0
124,0.225874755512923,0,0,0
1188,0.230790923505556,0,0,0
45,0.206203094774391,0,0,0
5,0.161390816045459,0,0,0
37,0.17146609518677,0,0,0
120,0.204547498514876,0,0,0
41,0.186483894395642,0,0,0
2,0.196767208350357,0,0,0
388,0.220968016029801,0,0,0
3,0.191037296762224,0,0,0
5,0.206331670214422,0,0,0
8,0.215236772515345,0,0,0
3,0.173005123438779,0,0,0
2148,0.241062329185661,0,0,0
